SA2_NAME16,SA2_MAIN16,Average Valuation
Avoca Beach - Copacabana,102011028,1080.9495929519348
Box Head - MacMasters Beach,102011029,1102.913147005955
Calga - Kulnura,102011030,753.6345067453854
Erina - Green Point,102011031,1104.806107104855
Gosford - Springfield,102011032,928.7323213899479
Kariong,102011033,928.7323213899479
Kincumber - Picketts Valley,102011034,1080.9495929519348
Narara,102011035,928.7323213899479
Niagara Park - Lisarow,102011036,928.7323213899479
Point Clare - Koolewong,102011037,1052.311706540626
Saratoga - Davistown,102011038,1080.9495929519348
Terrigal - North Avoca,102011039,1255.3003455693079
Umina - Booker Bay - Patonga,102011040,1113.9687691811207
Wamberal - Forresters Beach,102011041,1231.7269558935363
Woy Woy - Blackwall,102011042,1108.0441721865254
Wyoming,102011043,928.7323213899479
Bateau Bay - Killarney Vale,102021044,953.0589067875062
Blue Haven - San Remo,102021045,746.5277777777777
Budgewoi - Buff Point - Halekulani,102021046,746.5277777777777
Chittaway Bay - Tumbi Umbi,102021047,953.0589067875062
Gorokan - Kanwal - Charmhaven,102021048,768.5894276654119
Jilliby - Yarramalong,102021049,797.3856881093805
Lake Munmorah - Mannering Park,102021050,766.9509815222088
Ourimbah - Fountaindale,102021051,856.4678086237448
Summerland Point - Gwandalan,102021052,797.3856881093806
The Entrance,102021053,953.0589067875062
Toukley - Norah Head,102021054,767.4335010783609
Tuggerah - Kangy Angy,102021055,832.9046378737376
Warnervale - Wadalba,102021056,774.5373707154394
Wyong,102021057,797.3856881093806
Baulkham Hills (East),115011290,1752.2312697186433
Baulkham Hills (West) - Bella Vista,115011291,1752.231269718643
Glenhaven,115011294,1408.8040695538605
West Pennant Hills,115011296,1692.205196535643
Castle Hill - Central,115011553,1823.746971049611
Castle Hill - East,115011554,1824.641719809314
Castle Hill - North,115011555,1821.324549739964
Castle Hill - South,115011556,1823.7469710496107
Castle Hill - West,115011557,1823.7469710496107
Cherrybrook,115011558,1915.7239769924681
Kellyville,115011559,2110.2957527240383
Dural - Kenthurst - Wisemans Ferry,115021297,1269.2699559661298
Galston - Laughtondale,115021298,939.8126857218689
Kurrajong Heights - Ebenezer,115031300,642.8132536109493
Pitt Town - McGraths Hill,115041301,1126.1465343504985
Rouse Hill - Beaumont Hills,115041302,1905.9063373311405
Blacktown (East) - Kings Park,116011303,1270.2993653994988
Blacktown (North) - Marayong,116011304,1320.0114179792465
Doonside - Woodcroft,116011306,1461.034028723158
Lalor Park - Kings Langley,116011307,1147.5490656486506
Seven Hills - Toongabbie,116011308,1255.5276283295573
Blacktown (South),116011560,1266.9236051935884
Blacktown (West),116011561,1266.9236051935884
Glenwood,116021309,2005.9069652965786
Parklea - Kellyville Ridge,116021310,2165.8759284692937
Riverstone - Marsden Park,116021312,1451.6833664986664
Acacia Gardens,116021562,1362.2440206008287
Quakers Hill,116021563,1359.4000085762832
Bidwill - Hebersham - Emerton,116031313,781.9363907924793
Glendenning - Dean Park,116031314,1181.6978634902628
Hassall Grove - Plumpton,116031315,1181.6978634902628
Lethbridge Park - Tregear,116031316,876.4026346597129
Mount Druitt - Whalan,116031317,781.9363907924794
Rooty Hill - Minchinbury,116031319,1316.3984726212775
Banksmeadow,117011320,4648.3595030022
Botany,117011321,4648.3595030022
Mascot - Eastlakes,117011322,6298.922322069462
Pagewood - Hillsdale - Daceyville,117011323,5269.96284511893
Marrickville,117021326,5305.245800115654
Petersham - Stanmore,117021327,7458.838742413718
Sydenham - Tempe - St Peters,117021328,6267.6056338028175
Darlinghurst,117031329,13554.21686746988
Erskineville - Alexandria,117031330,8625.97750045827
Glebe - Forest Lodge,117031331,9575.854634783638
Newtown - Camperdown - Darlington,117031332,9875.143316664793
Potts Point - Woolloomooloo,117031333,13415.232781266388
Pyrmont - Ultimo,117031334,9049.867909709401
Redfern - Chippendale,117031335,11340.80912635376
Surry Hills,117031336,13554.216867469879
Sydney - Haymarket - The Rocks,117031337,17727.341116732012
Waterloo - Beaconsfield,117031338,8241.802743048522
Bondi - Tamarama - Bronte,118011339,9533.605841092416
Bondi Beach - North Bondi,118011340,10193.321616871704
Bondi Junction - Waverly,118011341,10096.945020910965
Double Bay - Bellevue Hill,118011343,10544.03703538585
Dover Heights,118011344,7328.745967620526
Paddington - Moore Park,118011345,16699.65363681346
Rose Bay - Vaucluse - Watsons Bay,118011346,7454.338474648756
Woollahra,118011347,13175.620644150948
Coogee - Clovelly,118021348,8539.908061306867
Malabar - La Perouse - Chifley,118021350,5183.199285075962
Kensington (NSW),118021564,7007.014028056113
Kingsford,118021565,5130.1577174292925
Maroubra - North,118021566,5481.727574750829
Maroubra - South,118021567,5481.727574750829
Maroubra - West,118021568,5481.727574750829
Randwick - North,118021569,8387.19512195122
Randwick - South,118021570,8387.19512195122
